scope,layer,property,value,units,notes,source_reference
shared,blubber,thermal_conductivity_W_mK,0.19,W/(m·K),Whale blubber acts as insulation with minimal blood flow. k≈0.18–0.20 W/m·K is consistent with marine mammal blubber measurements.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,blubber,density_kg_m3,950,kg/m³,Whale blubber acts as insulation with minimal blood flow. k≈0.18–0.20 W/m·K is consistent with marine mammal blubber measurements.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,blubber,specific_heat_J_kgK,2300,J/(kg·K),Whale blubber acts as insulation with minimal blood flow. k≈0.18–0.20 W/m·K is consistent with marine mammal blubber measurements.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,blubber,perfusion_rate_kg_m3s,0.0,kg/(m³·s),Whale blubber acts as insulation with minimal blood flow. k≈0.18–0.20 W/m·K is consistent with marine mammal blubber measurements.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,blubber,metabolic_heat_W_m3,0,W/m³,Whale blubber acts as insulation with minimal blood flow. k≈0.18–0.20 W/m·K is consistent with marine mammal blubber measurements.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,muscle,thermal_conductivity_W_mK,0.51,W/(m·K),"Skeletal muscle resting perfusion ~0.5 kg/(m³·s), consistent with Pennes forearm value ~3 ml/100ml/min (Wissler 1998). Species config perfusion_scale accounts for CCHE reduction.",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,muscle,density_kg_m3,1050,kg/m³,"Skeletal muscle resting perfusion ~0.5 kg/(m³·s), consistent with Pennes forearm value ~3 ml/100ml/min (Wissler 1998). Species config perfusion_scale accounts for CCHE reduction.",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,muscle,specific_heat_J_kgK,3600,J/(kg·K),"Skeletal muscle resting perfusion ~0.5 kg/(m³·s), consistent with Pennes forearm value ~3 ml/100ml/min (Wissler 1998). Species config perfusion_scale accounts for CCHE reduction.",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,muscle,perfusion_rate_kg_m3s,0.5,kg/(m³·s),"Skeletal muscle resting perfusion ~0.5 kg/(m³·s), consistent with Pennes forearm value ~3 ml/100ml/min (Wissler 1998). Species config perfusion_scale accounts for CCHE reduction.",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,muscle,metabolic_heat_W_m3,700,W/m³,"Skeletal muscle resting perfusion ~0.5 kg/(m³·s), consistent with Pennes forearm value ~3 ml/100ml/min (Wissler 1998). Species config perfusion_scale accounts for CCHE reduction.",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,core,thermal_conductivity_W_mK,0.56,W/(m·K),Core organs with high perfusion. Base rate ~0.8 kg/(m³·s) (between resting muscle and well-perfused viscera). Species config perfusion_scale accounts for CCHE reduction.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,core,density_kg_m3,1030,kg/m³,Core organs with high perfusion. Base rate ~0.8 kg/(m³·s) (between resting muscle and well-perfused viscera). Species config perfusion_scale accounts for CCHE reduction.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,core,specific_heat_J_kgK,4000,J/(kg·K),Core organs with high perfusion. Base rate ~0.8 kg/(m³·s) (between resting muscle and well-perfused viscera). Species config perfusion_scale accounts for CCHE reduction.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,core,perfusion_rate_kg_m3s,0.8,kg/(m³·s),Core organs with high perfusion. Base rate ~0.8 kg/(m³·s) (between resting muscle and well-perfused viscera). Species config perfusion_scale accounts for CCHE reduction.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,core,metabolic_heat_W_m3,3000,W/m³,Core organs with high perfusion. Base rate ~0.8 kg/(m³·s) (between resting muscle and well-perfused viscera). Species config perfusion_scale accounts for CCHE reduction.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
shared,core,blood_temp_C,36.8,°C,Core organs with high perfusion. Base rate ~0.8 kg/(m³·s) (between resting muscle and well-perfused viscera). Species config perfusion_scale accounts for CCHE reduction.,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
blue_whale,blubber,thermal_conductivity_W_mK,0.22,W/(m-K),"Blue whale blubber k=0.22 W/m-K based on Kvadsheim et al. (1996) measurement of 0.25 W/m-K for minke whale (also rorqual family). Earlier estimates of 0.19-0.20 underestimated heat loss. Blue whales have 5-30 cm blubber, thinner than right/bowhead whales due to streamlined rorqual body plan.","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,blubber,density_kg_m3,950,kg/m3,"Blue whale blubber k=0.22 W/m-K based on Kvadsheim et al. (1996) measurement of 0.25 W/m-K for minke whale (also rorqual family). Earlier estimates of 0.19-0.20 underestimated heat loss. Blue whales have 5-30 cm blubber, thinner than right/bowhead whales due to streamlined rorqual body plan.","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,blubber,specific_heat_J_kgK,2300,J/(kg-K),"Blue whale blubber k=0.22 W/m-K based on Kvadsheim et al. (1996) measurement of 0.25 W/m-K for minke whale (also rorqual family). Earlier estimates of 0.19-0.20 underestimated heat loss. Blue whales have 5-30 cm blubber, thinner than right/bowhead whales due to streamlined rorqual body plan.","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,blubber,perfusion_rate_kg_m3s,0.0,kg/(m3-s),"Blue whale blubber k=0.22 W/m-K based on Kvadsheim et al. (1996) measurement of 0.25 W/m-K for minke whale (also rorqual family). Earlier estimates of 0.19-0.20 underestimated heat loss. Blue whales have 5-30 cm blubber, thinner than right/bowhead whales due to streamlined rorqual body plan.","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,blubber,metabolic_heat_W_m3,0,W/m3,"Blue whale blubber k=0.22 W/m-K based on Kvadsheim et al. (1996) measurement of 0.25 W/m-K for minke whale (also rorqual family). Earlier estimates of 0.19-0.20 underestimated heat loss. Blue whales have 5-30 cm blubber, thinner than right/bowhead whales due to streamlined rorqual body plan.","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,muscle,thermal_conductivity_W_mK,0.51,W/(m-K),"Skeletal muscle. Slightly lower metabolic heat - large rorqual FMRs are less than half predicted from smaller mammals (Blawas et al. 2025, Science Advances).","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,muscle,density_kg_m3,1050,kg/m3,"Skeletal muscle. Slightly lower metabolic heat - large rorqual FMRs are less than half predicted from smaller mammals (Blawas et al. 2025, Science Advances).","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
